routine	key	size	epopenblas-omp1	epopenblas-omp4	parallel-blas-omp1	parallel-blas-omp4	migrated-serial	mig_par_omp1	mig_par_omp4	mig_ep_omp1	mig_ep_omp4
egemmtr	UTT	512	1.1053	3.5106	3.0834	8.0170	1.1194	1.1194	1.1649	1.1245	1.2002
egemv	N	128	1.6303	2.9617	1.8178	3.1583	1.8079	1.8079	1.8262	1.8130	1.7906
egemv	N	256	1.6566	4.4800	1.8235	5.1785	1.9251	1.9251	1.8618	1.9382	1.9091
egemv	N	512	1.7598	5.8782	1.9647	6.2987	1.9626	1.9626	1.9297	1.8970	1.9467
egemv	N	1024	1.5634	5.3867	1.6529	5.9100	1.7219	1.7219	1.7099	1.7037	1.6829
egemv	N	2048	1.5212	4.1622	1.6821	4.2039	1.6768	1.6768	1.6710	1.6953	1.6638
egemv	N/x-1	128	1.0715	1.8611	1.9135	1.9594	1.8968	1.8968	1.9367	1.9005	1.8692
egemv	N/x-1	256	1.0985	3.2146	1.9397	1.9877	1.8601	1.8601	1.9846	1.8754	1.9690
egemv	N/x-1	512	1.1230	4.2537	1.8508	1.9954	1.8253	1.8253	1.9678	1.9930	1.8913
egemv	N/x-1	1024	0.9946	3.7626	1.6571	1.7260	1.6778	1.6778	1.7012	1.7098	1.6716
egemv	N/x-1	2048	0.9927	3.8684	1.6940	1.6923	1.6763	1.6763	1.6606	1.6900	1.6611
egemv	N/x-1/y-1	128	1.0771	2.3370	1.7648	1.7333	1.7336	1.7336	1.6974	1.7495	1.6792
egemv	N/x-1/y-1	256	1.1073	3.1007	1.6787	1.7632	1.6788	1.6788	1.7479	1.7542	1.7310
egemv	N/x-1/y-1	512	1.0713	3.8600	1.7911	1.7829	1.7274	1.7274	1.7984	1.7144	1.6627
egemv	N/x-1/y-1	1024	0.9633	3.4847	1.5407	1.5802	1.5644	1.5644	1.5766	1.5570	1.5161
egemv	N/x-1/y-1	2048	0.9814	3.5611	1.5468	1.5592	1.5534	1.5534	1.5573	1.5601	1.5218
egemv	N/x-1/y2	128	1.1022	2.3170	1.6550	1.6899	1.5870	1.5870	1.6732	1.6056	1.6810
egemv	N/x-1/y2	256	1.1229	3.2759	1.6846	1.7242	1.6718	1.6718	1.7126	1.7827	1.7788
egemv	N/x-1/y2	512	1.0683	3.8835	1.7444	1.7126	1.7605	1.7605	1.7500	1.6854	1.6909
egemv	N/x-1/y2	1024	0.9806	3.4578	1.5461	1.5525	1.5515	1.5515	1.5458	1.5190	1.5264
egemv	N/x-1/y2	2048	0.9717	3.5601	1.5319	1.5395	1.5467	1.5467	1.5409	1.5476	1.5200
egemv	N/x2	128	1.0705	2.2635	1.9140	1.9113	1.8952	1.8952	1.8976	1.9426	1.8151
egemv	N/x2	256	1.1060	3.2588	1.9465	1.9527	1.9397	1.9397	1.9454	1.9701	1.8578
egemv	N/x2	512	1.1218	4.3637	1.9739	1.9858	1.9551	1.9551	1.9963	1.9638	1.8741
egemv	N/x2	1024	0.9996	3.7260	1.6871	1.7262	1.7053	1.7053	1.7132	1.7044	1.6731
egemv	N/x2	2048	0.9895	3.8707	1.6976	1.7060	1.6769	1.6769	1.6936	1.6928	1.6744
egemv	N/x2/y-1	128	1.1014	2.3104	1.7187	1.7677	1.6956	1.6956	1.7487	1.7484	1.7038
egemv	N/x2/y-1	256	1.0930	3.2198	1.7400	1.7920	1.7360	1.7360	1.7395	1.7457	1.7099
egemv	N/x2/y-1	512	1.1170	3.8886	1.7545	1.8082	1.6940	1.6940	1.7918	1.7725	1.6930
egemv	N/x2/y-1	1024	1.0025	3.4154	1.5479	1.5708	1.5436	1.5436	1.5600	1.5473	1.5413
egemv	N/x2/y-1	2048	0.5249	3.5876	1.5356	1.5647	1.5510	1.5510	1.5590	0.7975	1.5239
egemv	N/x2/y2	128	1.0983	2.3526	1.7680	1.7703	1.7331	1.7331	1.7234	1.7368	1.6541
egemv	N/x2/y2	256	1.1230	3.2458	1.7909	1.8021	1.7866	1.7866	1.7212	1.7382	1.7449
egemv	N/x2/y2	512	1.1244	3.8628	1.7884	1.8095	1.7621	1.7621	1.7932	1.7958	1.7315
egemv	N/x2/y2	1024	0.9894	3.4380	1.5537	1.5631	1.5427	1.5427	1.5747	1.5511	1.5260
egemv	N/x2/y2	2048	0.9818	3.5779	1.5431	1.5599	1.5405	1.5405	1.5530	1.5674	1.5423
egemv	N/y-1	128	1.0289	2.0368	1.3665	1.7563	0.5912	0.5912	1.5463	1.6326	1.6640
egemv	N/y-1	256	1.0511	3.3373	0.8326	1.7630	0.9686	0.9686	1.7417	1.6654	1.7700
egemv	N/y-1	512	1.0503	3.8037	0.8991	1.7660	1.0177	1.0177	1.7663	1.6897	1.7156
egemv	N/y-1	1024	0.9587	3.4204	1.1306	1.5586	1.5533	1.5533	1.5553	1.5580	1.5266
egemv	N/y-1	2048	0.9873	2.7237	1.5392	1.5466	1.5423	1.5423	1.5463	1.5165	1.4767
egemv	N/y2	128	1.0963	2.3374	1.7708	1.7677	1.7461	1.7461	1.7326	1.7398	1.6192
egemv	N/y2	256	1.1198	3.3999	1.7828	1.7967	1.7255	1.7255	1.7353	1.7414	1.7257
egemv	N/y2	512	1.1121	3.8813	1.7330	1.7608	1.7267	1.7267	1.7637	1.7191	1.6881
egemv	N/y2	1024	0.9366	3.4527	1.5432	1.5859	1.5552	1.5552	1.5812	1.5394	1.5285
egemv	N/y2	2048	0.9914	3.5768	1.5499	1.5422	1.0856	1.0856	1.5372	1.5128	1.5133
egemv	T	128	2.7151	2.9963	2.6990	3.4341	2.1657	2.1657	2.1232	2.1711	2.0638
egemv	T	256	2.6408	6.3987	2.5909	6.1129	2.1050	2.1050	2.1349	2.1984	2.1386
egemv	T	512	2.6715	8.3942	2.6081	8.3584	2.2067	2.2067	2.1289	2.1723	2.0986
egemv	T	1024	1.8368	6.3737	1.7937	6.2062	1.6187	1.6187	1.6379	1.6766	1.6312
egemv	T	2048	1.7691	4.2788	1.7304	4.3264	1.6334	1.6334	1.5948	1.6477	1.5956
egemv	T/x-1	128	2.1572	2.4452	2.1433	2.1442	2.1244	2.1244	2.1448	2.1771	1.9173
egemv	T/x-1	256	2.1361	5.2579	2.0934	2.1527	2.1579	2.1579	2.1143	2.1507	2.1479
egemv	T/x-1	512	2.2095	7.1146	2.1827	2.1344	2.1808	2.1808	2.1619	2.1728	2.1526
egemv	T/x-1	1024	1.6715	5.9345	1.6618	1.6398	1.6660	1.6660	1.6666	1.6823	1.6709
egemv	T/x-1	2048	1.6561	4.2842	1.6306	1.6282	1.6386	1.6386	1.6369	1.6438	1.5897
egemv	T/x-1/y-1	128	2.1383	2.6535	2.0516	2.1486	2.0459	2.0459	2.1449	2.1635	2.1492
egemv	T/x-1/y-1	256	2.1901	5.7366	2.2069	1.9973	2.1570	2.1570	2.1780	2.2092	2.2017
egemv	T/x-1/y-1	512	2.1906	7.2063	2.1990	2.2260	2.2194	2.2194	2.2154	2.2210	2.1421
egemv	T/x-1/y-1	1024	1.6858	6.0658	1.6932	1.6262	1.6860	1.6860	1.6736	1.6789	1.6447
egemv	T/x-1/y-1	2048	1.6561	4.3052	1.6535	1.6408	1.6526	1.6526	1.6436	1.6402	1.6009
egemv	T/x-1/y2	128	2.1601	3.2449	2.1643	2.1983	2.1679	2.1679	2.1227	2.1708	2.0935
egemv	T/x-1/y2	256	2.0622	5.5833	2.2103	2.2205	2.1749	2.1749	2.2316	2.2095	2.1322
egemv	T/x-1/y2	512	2.1921	7.1353	2.2240	2.2287	2.2127	2.2127	2.2272	2.1704	2.1173
egemv	T/x-1/y2	1024	1.6833	5.9943	1.6855	1.6776	0.9520	0.9520	1.6740	1.6866	1.6376
egemv	T/x-1/y2	2048	1.6154	4.2929	1.4588	1.5910	1.6196	1.6196	1.6319	1.6499	1.6226
egemv	T/x2	128	2.1625	3.3932	2.0902	2.1345	2.0887	2.0887	2.0642	2.1537	2.0837
egemv	T/x2	256	2.0891	5.9173	2.2004	2.1927	2.1424	2.1424	2.1354	2.1897	2.1750
egemv	T/x2	512	2.1728	7.1944	2.1193	2.1784	2.1264	2.1264	2.1443	2.1207	2.1264
egemv	T/x2	1024	1.6750	5.7539	1.6416	1.6604	1.6034	1.6034	1.6438	1.6639	1.6052
egemv	T/x2	2048	1.6189	4.2954	1.6057	1.6241	1.6058	1.6058	1.6242	1.6385	1.5986
egemv	T/x2/y-1	128	2.1159	3.3896	2.0307	2.1774	1.9805	1.9805	2.1548	2.0862	2.0897
